Invoice,,,Parts,,Labor,,Sublet,,HazMat & Fees,,Shop Supplies,,Discount,,Subtotal,,Tax,Total,Shop Name,Shop Identifier
Date,Number,URL,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed
01/03/2022,21555,https://autohousenwa.shop-ware.com/work_orders/46787096,94.75,0.00,180.00,0.00,0.00,0.00,0.00,0.00,8.10,0.00,0.00,0.00,282.85,0.00,31.11,313.96,AutoHouse Automotive,NWA
01/03/2022,21510,https://autohousenwa.shop-ware.com/work_orders/45676788,192.43,0.00,516.00,0.00,0.00,0.00,0.00,0.00,23.22,0.00,0.00,0.00,731.65,0.00,80.48,812.13,AutoHouse Automotive,NWA
01/03/2022,21565,https://autohousenwa.shop-ware.com/work_orders/46802661,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,4.05,0.00,0.00,0.00,94.05,0.00,10.35,104.40,AutoHouse Automotive,NWA
01/03/2022,21199,https://autohousenwa.shop-ware.com/work_orders/41352893,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
01/03/2022,20898,https://autohousenwa.shop-ware.com/work_orders/36310084,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
01/03/2022,21060,https://autohousenwa.shop-ware.com/work_orders/39759208,281.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.11,0.00,30.92,312.03,AutoHouse Automotive,NWA
01/03/2022,20782,https://autohousenwa.shop-ware.com/work_orders/34382347,438.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,438.95,0.00,48.28,487.23,AutoHouse Automotive,NWA
01/03/2022,21219,https://autohousenwa.shop-ware.com/work_orders/41821291,153.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.83,0.00,16.92,170.75,AutoHouse Automotive,NWA
01/03/2022,20785,https://autohousenwa.shop-ware.com/work_orders/34436837,34.52,0.00,72.00,0.00,0.00,0.00,0.00,0.00,3.24,0.00,0.00,0.00,109.76,0.00,12.07,121.83,AutoHouse Automotive,NWA
01/03/2022,20554,https://autohousenwa.shop-ware.com/work_orders/31766110,616.38,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,617.95,0.00,67.98,685.93,AutoHouse Automotive,NWA
01/03/2022,21449,https://autohousenwa.shop-ware.com/work_orders/44674608,289.24,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,301.24,0.00,33.14,334.38,AutoHouse Automotive,NWA
01/03/2022,20563,https://autohousenwa.shop-ware.com/work_orders/31785849,233.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.49,0.00,25.68,259.17,AutoHouse Automotive,NWA
