name,phone,account_number,type
"NAPA Auto Parts","(479) 442-4273","","preferred"
"Volvo (Crest)","(972) 963-9750","","preferred"
"SSF - CARSON","(800) 203-9287","658351","preferred"
"SSF - POMPANO BEACH","(800) 203-9287","658351","preferred"
"SSF - ATLANTA","(800) 203-9287","658351","preferred"
"SSF - IRVINE","(800) 203-9287","658351","preferred"
"SSF - PHOENIX","(800) 203-9287","658351","preferred"
"SSF - SAN FRAN","(800) 203-9287","658351","preferred"
"O'Reilly Auto Parts","(479) 442-5399","","preferred"
"AutoZone","","","preferred"
"Crow-Burlingame","(479) 521-7574","","preferred"
"SSF - KENNESAW","","","preferred"
"WORLDPAC","","","other"
"Tri-State Enterprises Inc.","(479) 347-7700","17275","other"
"Tri-State Enterprises Inc.","","","other"
"TORQ Distribution","","","other"
"WORLDPAC","","","other"
"German Auto Supply","","","other"
"WORLDPAC","","","other"
"Jesse Ketzler","(479) 530-6884","","other"
"Priority Tire","","","other"
"Gabe Spelts","(479) 387-4904","","other"
"ACE Transmission","","","other"
"WORLDPAC","","","other"
"F&F Design","","","other"
"Tri-State Enterprises Inc.","","","other"
"Audi Tulsa - Audi","(918) 712-2834","","other"
"Linam Mobile Diagnostics","(479) 459-1550","","other"
"Tri-State Enterprises Inc.","","","other"
"ECU Pro","","","other"
"Tri-State Enterprises Inc.","","","other"
"Maverik","","","other"
"CHEVROLET-HUMMER OF FAYETTEVILLE - General Motors","(479) 695-7560","","other"
"Gabriel Spelts","","","other"
"WORLDPAC","","","other"
"Airbag Center","","","other"
"Vance Ford Lincoln Inc. - Ford","(918) 542-6219","","other"
"Jackie Cooper Nissan - Nissan","(918) 392-9832","","other"
"WORLDPAC","","","other"
"WORLDPAC","","","other"
"Ratchford Delivery","(479) 644-8327","","other"
"Spelts Auto Electric","","","other"
"ORO","","","other"
"WORLDPAC","","","other"
"C&C Auto Programming","","","other"
"SUPERIOR CHEVROLET BUICK GMC OF SILOAM SPRINGS - General Motors","(479) 524-3151","","other"
"Volvo of Dallas (Crest Volvo) - Volvo","(972) 963-9750","","other"
"Tire Tracks","","","other"
"Gateway Tire","","","other"
"Discount Tire","","","other"
"Friend Tire","","","other"
"ATD / NTD - Direct","","","other"
"Jackie Cooper Mini","","","other"
"Jackie Cooper Porsche","","","other"
"Jackie Cooper Infiniti","","","other"
"Rath Mitsubishi","","","other"
"Hub Mitsubishi","","","other"
"Audi of Tulsa","","","other"
"Acura of Fayetteville","","","other"
"Lexus of Tulsa","(918) 665-3987","","other"
"Crain Volkswagen","","","other"
"Volkswagen (Crain)","","","other"
"Everett Volkswagen","","","other"
"Superior Buick GMC","(479) 935-9096","","other"
"McLarty Daniel Chrysler Dodge","","","other"
"Lewis Chrysler Dodge Jeep Ram","","","other"
"Land Rover Little Rock","","","other"
"Land Rover Tulsa","","","other"
"Jaguar of Little Rock","","","other"
"Harper Jaguar","","","other"
"Jaguar","","","other"
"Mazda Of Bentonville","","","other"
"Superior Nissan","(479) 442-4251","","other"
"Crain Hyundai","","","other"
"Crain KIA","","","other"
"Mercedes-Benz","","","other"
"BMW Of NWA","","","other"
"McLarty Daniel Chevrolet","","","other"
"Chevrolet of Fayetteville","","","other"
"Honda of Fayetteville","","","other"
"S&S Tire","","","other"
"ATD / NTD","","","other"
"Lewis Ford","","","other"
"McLarty Daniels Ford","(479) 250-0922","","other"
"Lander's Toyota","","","other"
"Thousand Oaks Toyota","","","other"
"Toyota Of Fayetteville","(479) 439-5569","","other"
"WORLDPAC","","","other"
"WORLDPAC","","","other"
"Russell Auto Group","(479) 632-5999","","other"
"Pelican Parts","","","other"
"NWA Driveshaft","","","other"
"WORLDPAC","","","other"
"WORLDPAC","","","other"
"WORLDPAC","","","other"
"Kit","(479) 647-2509","","other"
"Jasper","(800) 827-7455","","other"
"LKQ Salvage","(479) 521-7918","","other"
"BG Products","(479) 372-0668","","other"
"Warford","(479) 443-2481","","other"
"XeModex","1 (905) 670-4010","","other"
"Used Oil Service Co.","(479) 521-7070","","other"
"Cadillac of Bentonville","(866) 322-2037","","other"
"Suzuki Depot","","","other"
"Firestone","","","other"
"Tobo's","","","other"
"ECU Maverick","","","other"
"SubiSpeed","","","other"
"German Audio Tech","","","other"
"Mountain Cars","","","other"
"Marine Parts Outlet","","","other"
"NuWave Marine","","","other"
"Yeager Auto Salvage","","","other"
"Country Club Auto Body","","","other"
"Midway Auto Parts","","","other"
"Keystone","","","other"
"Erie Vo-Vo","","","other"
"Coilover Depot","","","other"
"HPS","","","other"
"AutoHouse Automotive","(479) 301-2880","","other"
"JB's Auto Salvage","","","other"
"ECS Tuning","","","other"
"RockAuto","","","other"
"AEP","","","other"
"Walmart","","","other"
"ToolTopia","","","other"
"IPD","","","other"
"American Towing","","","other"
"Headlight Experts","","","other"
"Wolf Auto Parts","","","other"
"GRM Distributing LLC","","","other"
"City Lumber Company Inc","","","other"
"Turbochargers Direct","","","other"
"Albers","","","other"
"Battery Outfitters","","","other"
"Motor Distribution","","","other"
"1185 Corp","","","other"
"Volvos Etc.","","","other"
"Greenland Mini Mart","","","other"
"DataAlchemy","","","other"
"JAB","","","other"
"Forty-Three Auto","","","other"
"Schuler Autohaus","","","other"
"RKX Tech","","","other"
"Rough Country","","","other"
"FCP Euro","","","other"
"Economy Auto Parts Inc.","","","other"
"Midwestern Auto Salvage Inc.","","","other"
"WorldPAC","","","other"
"Central Arkansas Infinity","","","other"
"Campbell Alfa Romeo","","","other"
"Truck Pro","","","other"
"shaw auto parts","","","other"
"Automotive Lock Works","(479) 422-3115","","other"
"Adventure Subaru","(844) 339-0246","","other"
"ebay","","","other"
"Big O","","","other"
"Payless Auto Salvage","","","other"
"EZ Mart","","","other"
"John Cooper Works","","","other"
"Motorcraft Tech Service","","","other"
"Worldpac","","","other"
"E-Z Mart","","","other"
"techinfo.honda.com","","","other"
"Dement","","","other"
"Orthodox Auto Co.","","","other"
"Flying Spares","","","other"
"Northeast Imported","","","other"
"Customer Supplied","","","other"
"PLACEHOLDER","","","other"
"JBug","","","other"
"ADT","","","other"
"Phillips 66","","","other"
"Tri State","","","other"
